COUNTY,MESOZONE,rank11,rank21,rank23,rank3133,rank42,rank4445,rank4849,rank22,rank51,rank52,rank53,rank54,rank55,rank56,rank61,rank62,rank71,rank72,rank81,rank92,rank99
64001,1,1,1,4,7,4,8,6,1,6,9,7,10,3,5,8,9,2,3,2,5,9
64001,2,1,3,6,5,1,7,1,3,7,8,3,10,1,1,9,9,5,4,8,5,1
64001,3,1,1,5,4,1,5,3,1,8,7,4,9,1,6,10,9,3,7,8,6,5
64001,4,2,2,4,7,2,7,5,2,2,8,6,9,2,4,8,9,6,2,10,2,
64001,5,1,1,7,2,3,4,2,1,6,5,4,10,1,7,9,7,5,8,6,9,5
64001,6,2,2,2,10,6,9,4,2,7,7,5,9,2,6,8,2,2,8,5,2,4
64001,7,4,1,5,5,1,6,6,3,3,8,9,9,1,1,10,8,4,7,7,2,6
64001,8,1,3,3,3,4,7,1,6,8,2,5,9,1,1,10,9,7,5,7,6,
64001,9,1,1,2,3,6,7,6,1,7,4,6,10,1,2,9,9,5,4,8,8,5
64001,10,1,1,7,4,8,6,3,1,7,1,6,9,1,3,9,10,5,4,8,4,7
64001,11,1,,8,2,6,7,4,3,7,6,3,10,1,2,9,9,4,8,5,5,1
64001,12,2,2,5,7,8,7,5,2,4,2,4,10,2,2,9,9,6,8,6,2,2
64001,13,5,2,4,2,8,9,5,2,7,2,4,9,2,2,10,5,6,2,7,8,3
64001,14,1,1,7,6,4,9,3,1,6,1,3,8,1,5,7,10,5,8,9,4,
64001,15,2,2,9,2,4,6,7,2,2,4,7,8,2,4,10,9,2,8,6,4,5
64001,16,1,1,4,7,1,9,5,1,6,1,4,8,1,3,9,10,6,7,8,5,6
64001,17,1,1,4,1,6,9,3,4,6,5,3,8,1,1,10,8,7,9,5,7,7
64001,18,2,2,5,2,6,9,8,2,5,2,2,9,2,2,10,8,2,7,7,6,3
64001,19,1,1,5,4,1,10,7,1,4,4,1,8,1,5,9,7,6,8,6,8,8
64001,20,1,,2,5,4,7,2,2,6,4,8,8,,5,10,9,3,6,9,7,
64001,21,2,5,9,7,4,5,2,2,6,2,2,7,2,2,9,10,8,8,5,2,
64001,22,1,1,7,4,1,6,9,1,3,5,7,10,1,5,8,9,8,4,6,3,
64001,23,1,1,6,6,3,9,5,1,5,4,7,8,1,9,8,10,4,7,1,3,3
64001,24,1,1,7,7,3,8,3,1,5,4,4,10,5,1,9,8,1,9,6,6,
64001,25,2,2,2,8,2,6,8,2,7,2,5,7,2,2,9,10,5,6,2,9,5
64001,26,2,2,5,6,9,8,6,2,2,5,2,7,2,9,2,10,2,7,8,2,5
64001,27,1,1,5,5,4,6,7,1,9,1,3,10,1,8,6,8,7,9,4,1,1
64001,28,3,3,7,8,3,3,9,3,3,3,6,9,3,3,6,10,3,3,8,3,7
64001,29,2,2,2,7,2,7,2,2,5,2,6,8,2,9,8,9,2,10,6,2,8
64001,30,2,2,9,6,6,7,2,2,4,7,2,8,2,2,9,10,5,5,7,2,2
64001,31,2,2,2,5,2,8,8,2,2,4,2,9,2,5,10,6,9,6,7,7,2
64001,32,2,2,4,6,2,7,5,2,9,2,2,10,2,6,9,8,8,4,5,7,7
64001,33,2,2,2,5,6,8,9,2,5,2,2,9,2,2,8,7,2,10,7,6,
64001,34,1,1,4,7,5,4,6,1,3,8,1,9,1,7,10,5,9,8,1,6,1
64001,35,1,1,4,9,1,8,6,3,7,4,1,8,1,3,9,10,5,7,6,5,1
64001,36,1,1,1,6,3,6,4,3,5,8,6,10,1,4,9,8,5,9,7,1,7
64001,37,1,1,7,7,6,8,5,1,5,4,6,8,1,1,9,10,9,3,1,4,2
64001,38,1,1,5,8,3,5,9,1,4,1,3,10,1,7,7,9,6,8,6,4,
64001,39,1,1,4,6,4,8,5,1,1,1,4,9,1,8,6,7,3,7,10,9,5
64001,40,2,1,6,5,2,8,1,4,5,4,3,9,1,7,8,10,5,9,7,2,8
64001,41,3,3,7,3,3,7,6,3,3,3,3,6,3,9,9,10,3,7,8,3,6
64001,42,5,1,6,8,2,10,4,1,4,3,1,9,1,5,7,9,5,7,8,3,
64001,43,2,2,9,2,2,9,2,2,2,6,2,7,2,6,8,10,5,7,8,2,5
64001,44,6,1,2,6,5,9,6,4,3,1,4,9,1,8,7,10,3,8,5,2,8
64001,45,2,2,2,7,2,10,4,2,6,2,4,9,2,6,9,8,5,7,5,8,7
64001,46,2,2,4,10,2,8,6,2,5,2,2,9,2,7,9,7,5,4,7,6,1
64001,47,1,1,6,3,5,6,6,5,1,4,3,9,1,8,10,8,4,9,7,1,6
64001,48,1,1,1,9,7,7,4,1,8,1,5,4,1,3,8,8,6,6,10,5,7
64001,49,1,1,7,8,2,9,5,1,4,8,7,10,1,3,9,3,6,3,6,5,1
64001,50,2,1,9,5,4,3,4,1,6,6,5,10,1,7,8,9,2,8,7,3,9
64001,51,,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,
64001,52,1,1,1,4,6,7,8,1,8,4,3,7,1,5,9,9,3,10,5,6,9
64001,53,6,2,2,7,2,8,9,2,4,5,5,6,2,2,7,9,2,10,4,7,
64001,54,2,2,9,8,4,10,5,2,2,2,4,2,2,6,7,7,9,6,7,5,1
64001,55,1,1,7,10,5,8,3,1,3,1,4,9,1,3,7,8,6,9,5,6,8
64001,56,1,1,1,6,4,5,8,1,6,7,5,7,1,1,10,8,9,9,4,3,6
64001,57,1,1,7,6,3,9,5,1,4,1,3,7,1,6,10,9,5,8,8,3,
64001,58,2,2,2,5,2,8,9,4,5,2,2,6,2,2,10,9,8,6,6,7,1
