Industry_NAICS6_MakeUse,X1111A0,X1111B0,X111200,X111300,X111400,X111900,X1121A0,X112120,X112A00,X112300,X113000,X114000,X115000,X211000,X212100,X2122A0,X212230,X212310,X2123A0,X213111,X21311A,X221100,X221200,X221300,X230301,X230302,X233210,X233230,X233240,X233262,X233293,X2332A0,X2332B0,X233411,X233412,X2334A0,X321100,X321200,X321910,X3219A0,X327100,X327200,X327310,X327320,X327330,X327390,X327400,X327910,X327991,X327992,X327993,X327999,X331110,X331200,X33131A,X331314,X33131B,X331411,X331419,X331420,X331490,X331510,X331520,X33211A,X332114,X33211B,X332200,X332310,X332320,X332410,X332420,X332430,X332500,X332600,X332710,X332720,X332800,X33291A,X332913,X332991,X33299A,X332996,X33299B,X333111,X333112,X333120,X333130,X33329A,X333220,X333295,X33331A,X333313,X333314,X333315,X33341A,X333414,X333415,X333511,X33351A,X333514,X33351B,X333611,X333612,X333613,X333618,X33391A,X333912,X333920,X333991,X33399A,X333993,X333994,X33399B,X334111,X334112,X33411A,X334210,X334220,X334290,X334300,X33441A,X334413,X334418,X334510,X334511,X334512,X334513,X334514,X334515,X334516,X334517,X33451A,X334610,X335110,X335120,X335210,X335221,X335222,X335224,X335228,X335311,X335312,X335313,X335314,X335911,X335912,X335920,X335930,X335991,X335999,X336111,X336112,X336120,X336211,X336212,X336213,X336214,X336310,X336320,X3363A0,X336350,X336360,X336370,X336390,X336411,X336412,X336413,X336414,X33641A,X336500,X336611,X336612,X336991,X336992,X336999,X337110,X337121,X337122,X33712A,X337127,X33721A,X337215,X337900,X339112,X339113,X339114,X339115,X339116,X339910,X339920,X339930,X339940,X339950,X339990,X311111,X311119,X311210,X311221,X31122A,X311225,X311230,X311300,X311410,X311420,X31151A,X311513,X311514,X311520,X31161A,X311615,X311700,X311810,X3118A0,X311910,X311920,X311930,X311940,X311990,X312110,X312120,X312130,X312140,X312200,X313100,X313200,X313300,X314110,X314120,X314900,X315000,X316000,X322110,X322120,X322130,X322210,X322220,X322230,X322291,X322299,X323110,X323120,X324110,X324121,X324122,X324190,X325110,X325120,X325130,X325180,X325190,X325211,X3252A0,X325310,X325320,X325411,X325412,X325413,X325414,X325510,X325520,X325610,X325620,X325910,X3259A0,X326110,X326120,X326130,X326140,X326150,X326160,X326190,X326210,X326220,X326290,X420000,X441000,X445000,X452000,X4A0000,X481000,X482000,X483000,X484000,X485000,X486000,X48A000,X492000,X493000,X511110,X511120,X511130,X5111A0,X511200,X512100,X512200,X515100,X515200,X517110,X517210,X517A00,X518200,X5191A0,X519130,X52A000,X522A00,X523A00,X523900,X524100,X524200,X525000,X531000,X532100,X532A00,X532400,X533000,X541100,X541511,X541512,X54151A,X541200,X541300,X541400,X541610,X5416A0,X541700,X541800,X5419A0,X541920,X541940,X550000,X561100,X561200,X561400,X561600,X561700,X561900,X561300,X561500,X562000,X611100,X611A00,X611B00,X621100,X621200,X621300,X621400,X621500,X621600,X621900,X622000,X623A00,X623B00,X624100,X624A00,X624400,X711100,X711200,X711A00,X711500,X712000,X713100,X713200,X713900,X721000,X722110,X722211,X722A00,X811100,X811200,X811300,X811400,X812100,X812200,X812300,X812900,X813100,X813A00,X813B00,X814000,S00500,S00600,X491000,S00700,S00201,S00202,S00203
1111A0,15534.52,1713.37,54.11,0,0,42.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019.97,77474.21,6120.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1587.12,0,72.14,192.38,48.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.94,12.02,6.01,0,3324.53,0,0,0,0,306.6,156.31,18.04,36.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.08,48.09,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,-492.97,0,0,0,0,0
1111B0,0,27672.37,0,0,0,1220.4,17356.1,9865.38,1178.31,7598.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4250.35,45070.55,40146.87,25435.97,961.89,1106.17,2627.16,0,13448.42,841.65,0,0,0,0,0,0,0,8284.28,2242.41,1508.96,0,0,0,2993.88,0,4923.67,0,486.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.32,0,0,15883.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.81,0,0,0,0,30.06,0,0,0,0,0,0,0,0,0,6.01,78.15,0,0,0,0,0,0,0,0,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,24.05,12.02,24.05,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,-631.24,0,0,0,0,0
111200,0,0,3498.87,48.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9071.82,5055.93,0,0,0,0,0,0,0,0,48.09,1280.52,0,90.18,553.09,7496.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.73,0,0,0,0,0,0,0,0,168.33,144.28,6.01,0,0,0,0,0,0,0,0,0,6.01,12.02,36.07,799.57,450.89,66.13,0,0,0,0,0,0,0,0,6.01,0,6.01,0,0,0,0,6.01,6.01,6.01,6.01
111300,0,0,0,883.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.59,4340.53,4172.2,13225.98,0,0,0,1142.24,0,0,0,865.7,901.77,5428.67,13364.26,697.37,1773.48,12312.19,0,0,9853.36,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,66.13,72.14,30.06,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0
111400,0,0,0,0,18546.44,0,0,0,0,0,0,0,781.54,0,0,0,0,0,0,0,0,0,0,0,0,168.33,0,0,0,0,0,0,0,378.74,0,709.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.85,0,0,0,0,0,0,0,0,0,48.09,0,0,0,0,0,0,0,0,0,511,0,0,0,2092.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1719.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.18,2031.99,1424.8,0,949.87,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04,0,0,0,0,6.01,0,0,0,36.07,96.19,0,48.09,0,0,318.63,0,0,0,0,0,0,6.01,0,2536.98,6.01,0,0,0,0,0,0,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06,42.08,18.04,6.01,6.01,0,0,0,0,0,0,0,0,0,0,36.07,0,6.01,0,0,0,0,0,0,0,0
111900,1376.7,4538.92,0,0,0,3288.46,7454.65,7394.53,889.75,0,0,0,0,0,54.11,84.17,18.04,30.06,54.11,18.04,36.07,0,0,0,390.77,1947.83,168.33,18.04,204.4,204.4,30.06,192.38,78.15,979.93,78.15,2068.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334.62,529.04,24.05,14254,0,0,0,0,0,24.05,0,0,0,0,102.2,12228.02,2897.69,168.33,8783.26,204.4,0,1070.1,0,0,9691.04,4550.94,1190.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.7,0,0,3817.5,0,0,0,0,102.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.22,0,0,0,0,12.02,0,0,0,0,126.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,54.11,0,18.04,18.04,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,-444.87,0,0,0,0,0
1121A0,168.33,1803.54,36.07,144.28,66.13,114.22,105789.84,8795.28,2284.49,0,0,0,78.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255285.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.54,0,0,0,0,24.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112120,0,0,0,0,0,0,0,0,18.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97198.96,93549.79,30323.57,3486.85,0,0,0,0,0,0,0,0,0,3883.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112A00,138.27,1292.54,12.02,66.13,36.07,186.37,2080.09,955.88,10797.21,0,36.07,0,1064.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98058.65,835.64,6108,0,0,30.06,0,6.01,90.18,2543,0,0,0,0,0,306.6,559.1,0,0,0,228.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.57,0,0,0,0,42.08,0,0,0,12.02,0,0,0,0,0,0,18.04,0,0,0,0,0,0,0,0,24.05,0,0,0,0,0,0,0,0,0,0,84.17,0,372.73,6.01,1106.17,1665.27,258.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112300,48.09,0,0,0,0,12.02,0,0,0,31874.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607.19,1328.61,426.84,0,0,0,1058.08,0,138355.82,0,4070,2368.65,0,0,0,1587.12,2993.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.8,0,0,0,0,0,0,0,0,6.01,30.06,0,0,0,0,0,0,0,0,0,0,0,0,60.12,66.13,120.24,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0
