Commodity_SCTG,UnitCost
1,1985.702
2,238.506
3,623.134
4,424.717
5,3780.238
6,1512.397
7,1032.611
8,1983.744
9,21780.306
10,437.149
11,19.648
12,10.505
13,96.331
14,296.458
15,48.647
16,636.591
17,926.251
18,800.943
19,411.44
20,1043.807
21,49582.903
22,436.158
23,3380.277
24,2945.501
25,32.18
26,647.58
27,966.409
28,1882.216
29,4651.074
30,10869.573
31,232.203
32,1484.132
33,3113.863
34,10511.671
35,21881.277
36,7840.928
37,35965.017
38,51889.918
39,5429.013
40,7914.332
41,174.083
43,3704.204
99,1159.07
