firm_id,FAF_Zone,naics6d,employees,N
9030,486,nan,40,3
9030,129,nan,40,1
9030,089,nan,40,1
9030,484,nan,40,1
9030,401,nan,40,1
9030,123,nan,40,1
9030,363,nan,40,2
9030,131,nan,40,1
9030,064,nan,40,1
9030,519,nan,40,6
9030,341,nan,40,1
9030,061,nan,40,1
9030,350,nan,40,1
9030,171,nan,40,1
9030,251,nan,40,1
17592,061,492110,"1,896",8
17592,531,492110,"1,896",2
17592,262,492110,"1,896",1
17592,321,492110,"1,896",2
17592,064,492110,"1,896",9
17592,063,492110,"1,896",2
17592,341,492110,"1,896",1
17592,065,492110,"1,896",1
17592,062,492110,"1,896",1
17592,159,492110,"1,896",1
17592,411,492110,"1,896",1
22883,251,456199,500,5
27293,171,441222,262,1
27293,559,441222,262,5
27293,551,441222,262,5
27293,262,441222,262,2
27293,261,441222,262,4
27293,399,441222,262,1
27293,269,441222,262,1
27293,531,441222,262,1
27293,063,441222,262,1
4301,491,458110,"1,000",1
4301,124,458110,"1,000",1
13610,123,458110,260,2
13610,379,458110,260,2
13610,221,458110,260,1
13610,271,458110,260,4
13610,559,458110,260,4
13610,451,458110,260,1
13610,362,458110,260,2
13610,089,458110,260,3
13610,202,458110,260,3
13610,371,458110,260,2
13610,513,458110,260,3
13610,489,458110,260,4
13610,300,458110,260,3
13610,081,458110,260,5
13610,392,458110,260,3
13610,540,458110,260,3
13610,369,458110,260,2
13610,484,458110,260,10
13610,179,458110,260,3
13610,473,458110,260,1
13610,241,458110,260,3
13610,472,458110,260,1
13610,041,458110,260,3
13610,209,458110,260,1
13610,341,458110,260,1
13610,331,458110,260,1
13610,011,458110,260,2
13610,012,458110,260,2
13610,101,458110,260,1
13610,171,458110,260,2
13610,129,458110,260,3
13610,422,458110,260,1
13610,020,458110,260,2
13610,500,458110,260,1
13610,131,458110,260,3
13610,269,458110,260,1
13610,279,458110,260,2
13610,182,458110,260,1
13610,459,458110,260,2
13610,092,458110,260,1
13610,380,458110,260,2
13610,212,458110,260,1
13610,329,458110,260,1
13610,421,458110,260,1
13610,122,458110,260,2
13610,061,458110,260,1
13610,321,458110,260,1
13610,486,458110,260,2
13610,560,458110,260,1
13610,488,458110,260,1
13610,429,458110,260,1
13610,512,458110,260,1
13610,064,458110,260,3
13610,481,458110,260,1
13610,069,458110,260,2
13610,050,458110,260,1
13610,482,458110,260,1
13610,511,458110,260,1
13610,042,458110,260,1
13610,062,458110,260,1
13610,124,458110,260,1
13610,251,458110,260,1
13610,223,458110,260,1
6316,489,722511,200,7
6316,489,722310,200,12
6316,011,722511,200,1
6316,171,722511,200,2
6316,061,722511,200,1
32654,512,459510,300,9
32654,511,459510,300,1
32654,519,459510,300,1
