ORIG_CFS_AREA,DEST_CFS_AREA,orig_FAFID,dest_FAFID,Distance
01-142,01-142,11,11,20.75191682
01-142,01-380,11,12,241.5045317
01-142,01-99999,11,19,85.55254081
01-142,04-38060,11,41,1552.188235
01-142,04-536,11,42,1409.022727
01-142,04-99999,11,49,1487.583333
01-142,05-99999,11,50,374.8151659
01-142,06-260,11,65,2011.363636
01-142,06-348,11,61,1884.031963
01-142,06-41740,11,63,1824.313725
01-142,06-472,11,62,2119.833333
01-142,06-488,11,64,2170.050505
01-142,06-99999,11,69,2038.616071
01-142,08-216,11,81,1207.065574
01-142,08-99999,11,89,1192.589744
01-142,09-25540,11,91,981.6
01-142,09-408,11,92,986.0638298
01-142,09-99999,11,99,1008.333333
01-142,10-428,11,101,812.047619
01-142,10-99999,11,109,813.2941176
01-142,11-47900,11,111,698.2
01-142,12-300,11,121,408.3409091
01-142,12-370,11,122,664.7105263
01-142,12-422,11,123,489.664
01-142,12-45300,11,124,498.9166667
01-142,12-99999,11,129,339.4533552
01-142,13-122,11,131,151.852459
01-142,13-496,11,132,358.2307692
01-142,13-99999,11,139,223.4693141
01-142,16-99999,11,160,1824.789474
01-142,17-176,11,171,633.9790795
01-142,17-476,11,172,477.75
01-142,17-99999,11,179,547.4272727
01-142,18-176,11,181,601.2666667
01-142,18-258,11,183,578.0689655
01-142,18-294,11,182,474.296
01-142,18-99999,11,189,459.4656489
01-142,19-99999,11,190,773.2522523
01-142,20-312,11,201,680.4117647
01-142,20-556,11,202,743.1851852
01-142,20-99999,11,209,775.1272727
01-142,21-178,11,211,419.7407407
01-142,21-350,11,212,363.2266667
01-142,21-99999,11,219,329.3743842
01-142,22-12940,11,221,396.3444444
01-142,22-324,11,222,527.6666667
01-142,22-406,11,223,346.0325203
01-142,22-99999,11,229,422.2453988
01-142,23-99999,11,230,1220.184211
01-142,24-12580,11,241,728.9142857
01-142,24-47900,11,242,702.96875
01-142,24-99999,11,249,790.7096774
01-142,25-148,11,251,1089.359116
01-142,25-99999,11,259,998.6
01-142,26-220,11,261,701.373913
01-142,26-266,11,262,704.1388889
01-142,26-99999,11,269,765.5147059
01-142,27-378,11,271,978.2553191
01-142,27-99999,11,279,1030.512195
01-142,28-99999,11,280,207.5386243
01-142,29-312,11,291,703.453125
01-142,29-476,11,292,496.3555556
01-142,29-99999,11,299,526.5416667
01-142,30-99999,11,300,1685
01-142,31-420,11,311,852.5714286
01-142,31-99999,11,319,1025.129032
01-142,32-332,11,321,1655.5
01-142,32-99999,11,329,2106.235294
01-142,33-148,11,331,1128.551724
01-142,33-99999,11,339,1043
01-142,34-408,11,341,885.5546218
01-142,34-428,11,342,836.7391304
01-142,35-99999,11,350,1178.392857
01-142,36-104,11,361,1031.68
01-142,36-160,11,362,834.8518519
01-142,36-408,11,363,912.8529412
01-142,36-464,11,364,937.8888889
01-142,36-99999,11,369,976.3703704
01-142,37-172,11,371,382.8020305
01-142,37-268,11,372,450.1851852
01-142,37-450,11,373,505.5
01-142,37-99999,11,379,492.0123967
01-142,38-99999,11,380,1338.407407
01-142,39-178,11,391,469.9253731
01-142,39-184,11,392,674.0931677
01-142,39-198,11,393,567.53125
01-142,39-212,11,394,507.4193548
01-142,39-99999,11,399,605.442623
01-142,40-416,11,401,703.9615385
01-142,40-538,11,402,605.0344828
01-142,40-99999,11,409,697.875
01-142,41-440,11,411,2082.793103
01-142,41-99999,11,419,2129.625
01-142,42-408,11,423,838.3181818
01-142,42-428,11,421,818.0609756
01-142,42-430,11,422,688.6607143
01-142,42-99999,11,429,790.4497041
01-142,44-148,11,441,1094.454545
01-142,45-16700,11,451,431.0588235
01-142,45-273,11,452,286.1882353
01-142,45-99999,11,459,381.8880309
01-142,46-99999,11,460,1065.5
01-142,47-314,11,473,247.7232704
01-142,47-368,11,471,228.2844828
01-142,47-400,11,472,185.8244048
01-142,47-99999,11,479,197.230916
01-142,48-12420,11,481,750.7974684
01-142,48-13140,11,482,556
01-142,48-204,11,483,834.4444444
01-142,48-206,11,484,643.7551724
01-142,48-238,11,485,1210
01-142,48-288,11,486,640.0039683
01-142,48-29700,11,487,991.5384615
01-142,48-41700,11,488,817.0131579
01-142,48-99999,11,489,765.3295129
01-142,49-482,11,491,1698.493151
01-142,49-99999,11,499,1588.555556
01-142,50-99999,11,500,1085.888889
01-142,51-40060,11,511,642.5438596
01-142,51-47900,11,513,677.3913043
01-142,51-545,11,512,656.6964286
01-142,51-99999,11,519,531.0120482
01-142,53-440,11,532,2088.666667
01-142,53-500,11,531,2085.245283
01-142,53-99999,11,539,2113.952381
01-142,54-99999,11,540,549.9821429
01-142,55-376,11,551,735.5154639
01-142,55-99999,11,559,842.9813084
01-142,56-99999,11,560,1294.8
01-380,01-142,12,11,233.2744186
01-380,01-380,12,12,14.57129882
01-380,01-99999,12,19,145.6050157
01-380,04-38060,12,41,1498.25
01-380,04-536,12,42,1467.583333
01-380,04-99999,12,49,1663.4
