orig_FAFID,dest_FAFID,Distance,Travel_time,Alternative
11,11,0,4,Private Truck
11,12,282.27,20.34261538,Private Truck
11,19,128.38,10.419,Private Truck
11,41,1811.38,72.605625,Private Truck
11,42,1694.6,68.95625,Private Truck
11,49,1722.69,69.8340625,Private Truck
11,50,469.45,23.22230769,Private Truck
11,61,2089.08,81.28375,Private Truck
11,62,2761.59,102.2996875,Private Truck
11,63,2203.25,84.8515625,Private Truck
11,64,2688.4,100.0125,Private Truck
11,65,2490.61,93.8315625,Private Truck
11,69,2707.78,100.618125,Private Truck
11,81,2545.51,95.5471875,Private Truck
11,89,3210.55,116.3296875,Private Truck
11,91,1678.94,68.466875,Private Truck
11,92,1599.87,65.9959375,Private Truck
11,99,1691.38,68.855625,Private Truck
11,101,1492.74,62.648125,Private Truck
11,109,1566.4,64.95,Private Truck
11,111,1463.75,61.7421875,Private Truck
11,122,910.84,39.96947368,Private Truck
11,123,652.41,33.16868421,Private Truck
11,124,663.52,33.46105263,Private Truck
11,129,658.24,33.32210526,Private Truck
11,131,179.31,12.9655,Private Truck
11,132,463.64,23.13292308,Private Truck
11,139,307.11,20.72476923,Private Truck
11,160,2618.15,97.8171875,Private Truck
11,171,1034.96,43.23578947,Private Truck
11,172,701.62,34.46368421,Private Truck
11,179,831.75,37.88815789,Private Truck
11,181,1075.03,44.29026316,Private Truck
11,182,917.72,40.15052632,Private Truck
11,183,995.26,42.19105263,Private Truck
11,189,971.89,41.57605263,Private Truck
11,190,1053.23,43.71657895,Private Truck
11,201,902.52,39.75052632,Private Truck
11,202,955.14,41.13526316,Private Truck
11,209,1115.81,45.36342105,Private Truck
11,211,1009.42,42.56368421,Private Truck
11,212,636.72,25.79569231,Private Truck
11,221,830.39,37.85236842,Private Truck
11,222,904.03,39.79026316,Private Truck
11,223,524.08,24.06276923,Private Truck
11,229,842.19,38.16289474,Private Truck
11,230,2187.83,84.3696875,Private Truck
11,241,1467.13,61.8478125,Private Truck
11,242,1484.97,62.4053125,Private Truck
11,249,1515.58,63.361875,Private Truck
11,251,1820.15,72.8796875,Private Truck
11,259,1719.01,69.7190625,Private Truck
11,261,1148.86,46.23315789,Private Truck
11,262,1207.55,47.77763158,Private Truck
11,269,1443.28,61.1025,Private Truck
11,271,1311.09,56.9715625,Private Truck
11,279,1484.74,62.398125,Private Truck
11,280,314.26,20.83476923,Private Truck
11,291,867.56,38.83052632,Private Truck
11,292,670.24,33.63789474,Private Truck
11,299,753.8,35.83684211,Private Truck
11,300,2211.66,85.114375,Private Truck
11,311,1092.77,44.75710526,Private Truck
11,319,1888.21,75.0065625,Private Truck
11,321,2517.78,94.680625,Private Truck
11,329,2745.94,101.810625,Private Truck
11,331,1812.31,72.6346875,Private Truck
11,339,1906.44,75.57625,Private Truck
11,341,1534.49,63.9528125,Private Truck
11,342,1520.07,63.5021875,Private Truck
11,350,1335.74,57.741875,Private Truck
11,361,1645.96,67.43625,Private Truck
11,362,1261.93,49.20868421,Private Truck
11,363,1586.48,65.5775,Private Truck
11,364,1710.03,69.4384375,Private Truck
11,371,625.3,25.62,Private Truck
11,372,812.89,37.39184211,Private Truck
11,373,923.55,40.30394737,Private Truck
