ORIG_CFS_AREA,Commodity_SCTG,UnitCost
01-142,1,1322.595868680957
01-142,2,116.92895872829351
01-142,3,359.9235263880309
01-142,4,362.15276837164924
01-142,5,2390.5997276929443
01-142,6,521.9234880521373
01-142,7,758.5118378283354
01-142,8,2544.380088789328
01-142,9,335899.0175506858
01-142,10,25.328327093019304
01-142,11,53.267705072338586
01-142,12,29.554388391740613
01-142,13,122.79838130503265
01-142,14,6194.1616094674355
01-142,15,67.7102704314646
01-142,17,525.1403916672411
01-142,18,532.3240931574587
01-142,19,197.2935459948118
01-142,20,1431.9268971595566
01-142,21,101458.40894054389
01-142,22,831.9870363421551
01-142,23,1246.6209512879316
01-142,24,3776.662216177565
01-142,25,18.047505095644283
01-142,26,370.5550281435756
01-142,27,1126.4787800307447
01-142,28,2201.2181048946604
01-142,29,10961.304351346796
01-142,30,16644.261939385306
01-142,31,140.25821585968606
01-142,32,1160.1139689894608
01-142,33,1625.5720149355298
01-142,34,14218.694974736023
01-142,35,16113.728636726555
01-142,36,6367.193731513167
01-142,37,866.1978422745099
01-142,38,135654.04265187224
01-142,39,1532.3830662300184
01-142,40,3271.7648258959466
01-142,41,102.94249919431113
01-142,43,2874.1252902787814
01-380,1,3950.2695537884256
01-380,2,282.78277517908936
01-380,3,197.59747814413217
01-380,4,2362.196662941123
01-380,5,5933.478318082679
01-380,6,1856.41672940236
01-380,7,636.7882515074126
01-380,8,2302.782899041311
01-380,9,22870.004018278494
01-380,10,286.94786961309603
01-380,11,7.760254556772487
01-380,12,14.920634371571811
01-380,13,113.66273123443105
01-380,16,322.5699147971087
01-380,17,409.44680395189187
01-380,18,461.55786667400383
01-380,19,169.03644649967654
01-380,20,907.9726744804882
01-380,21,284210.12906042376
01-380,22,462.3808448964652
01-380,23,2364.297438606778
01-380,24,3376.4780122974876
01-380,25,13.342421661379836
01-380,26,622.7278907657085
01-380,27,1045.5307217947397
01-380,28,2091.2617963132047
01-380,29,4083.9149271972346
01-380,30,3577.757019688941
01-380,31,212.78849295828232
01-380,32,1008.1417927723106
01-380,33,3669.3788337891815
01-380,34,3645.624875192061
01-380,35,11101.782803314523
01-380,36,1983.7172107533465
01-380,37,48689.924335161624
01-380,38,52068.55703161729
01-380,39,3387.243791768073
01-380,40,2900.110554768474
01-380,41,143.67284646693793
01-380,43,3941.5649261105536
01-99999,1,1468.134350405331
01-99999,2,152.3044823845235
01-99999,3,314.9046741358565
01-99999,4,380.8360097937089
01-99999,5,2342.160890726139
01-99999,6,1132.9552763964691
01-99999,7,1295.7242232380731
01-99999,8,1361.6652686212242
01-99999,9,12203.48464559063
01-99999,10,1179.9866925280385
01-99999,11,16.663442924711553
01-99999,12,10.445274929148242
01-99999,13,128.2931605287279
01-99999,14,187.20882260920962
01-99999,15,202.87130445191204
01-99999,16,322.5699212673535
01-99999,17,493.7309499734468
01-99999,18,492.6411313654395
01-99999,19,170.4636488202881
01-99999,20,421.16908758568286
01-99999,21,376057.8785321057
01-99999,22,305.4200645395036
01-99999,23,2700.9678039408445
01-99999,24,2392.0006178434246
01-99999,25,15.470818205687719
01-99999,26,421.3994555503456
01-99999,27,704.5397918844978
01-99999,28,1626.8544835157888
01-99999,29,1570.7197689679003
01-99999,30,7831.540164861855
01-99999,31,284.58082729718404
01-99999,32,972.0009968552332
01-99999,33,2841.471117214948
01-99999,34,9113.870338986353
01-99999,35,19514.831831594707
01-99999,36,6851.156172657058
01-99999,37,3296.7997800920857
01-99999,38,45614.787484411776
01-99999,39,4210.118308810438
01-99999,40,2469.677419117972
01-99999,41,111.9274160465642
01-99999,43,2702.762069451325
02-99999,1,576.9397389616702
02-99999,2,100.2443094567154
02-99999,3,1180.0116249674372
02-99999,4,833.4535842204449
02-99999,5,4851.290961212432
02-99999,6,3883.7787296932456
02-99999,7,1835.4051002461454
02-99999,8,3002.4955538884137
02-99999,9,118889.37361465135
02-99999,10,354.2171506340928
02-99999,11,6.316689053277516
02-99999,12,13.725467576721291
02-99999,13,168.28210709858257
02-99999,14,112730.76173761295
02-99999,15,50.825562171813864
02-99999,16,315.5199425543203
02-99999,17,526.0569043469361
02-99999,18,571.325554346649
02-99999,19,451.9459849654273
02-99999,20,1215.6790260803828
02-99999,21,72910.10806039134
02-99999,22,818.8715706974234
02-99999,23,1492.1633458171875
02-99999,24,6524.314890504661
02-99999,25,21.449520828682076
02-99999,26,941.3681787761358
02-99999,27,914.0581795594542
02-99999,28,3425.2595112923127
02-99999,29,11448.192315449409
02-99999,30,14827.243027257404
02-99999,31,152.7562844261218
02-99999,32,3482.0238830745243
02-99999,33,2897.134469235567
02-99999,34,23034.405422608786
02-99999,35,9698.062054679362
02-99999,36,6766.235222236779
02-99999,37,326435.6053884413
02-99999,38,29747.39801555291
02-99999,39,6106.724341192904
02-99999,40,17061.35551517533
02-99999,41,0.0076111486144371555
02-99999,43,2871.3585879302036
04-38060,1,4346.6899966473175
04-38060,2,201.54386001006392
04-38060,3,695.8665430111782
04-38060,4,839.2837792960006
