Commodity_SCTG,ORIG_CFS_AREA,UnitCost
1,01-142,1322.595861
2,01-142,116.9289585
3,01-142,368.99532
4,01-142,366.114687
5,01-142,2393.296863
6,01-142,519.1328544
7,01-142,761.0457905
8,01-142,2544.40256
9,01-142,336836.1958
10,01-142,25.32830503
11,01-142,52.38601725
12,01-142,27.23607714
13,01-142,114.8659959
14,01-142,6405.112935
15,01-142,67.77050894
17,01-142,525.670707
18,01-142,531.4155749
19,01-142,197.7114559
20,01-142,1555.053802
21,01-142,102247.6094
22,01-142,784.682377
23,01-142,1247.04443
24,01-142,3780.652694
25,01-142,18.22866764
26,01-142,370.2450031
27,01-142,1133.643762
28,01-142,2207.565368
29,01-142,10654.21845
30,01-142,17933.90401
31,01-142,140.2539237
32,01-142,1159.638993
33,01-142,1625.321241
34,01-142,14224.81533
35,01-142,16131.01109
36,01-142,6517.777387
37,01-142,910.2555721
38,01-142,135307.8876
39,01-142,1504.257288
40,01-142,3267.373014
41,01-142,109.6263409
43,01-142,2864.8738
1,01-380,3908.279734
2,01-380,272.3530195
3,01-380,194.3898283
4,01-380,2348.688238
5,01-380,5989.571059
6,01-380,1821.564032
7,01-380,629.8227561
8,01-380,2302.403968
9,01-380,22870.09092
10,01-380,203.9217625
11,01-380,7.625971437
12,01-380,13.3251558
13,01-380,106.964157
16,01-380,322.5699118
17,01-380,416.5113742
18,01-380,461.494609
19,01-380,169.0327928
20,01-380,905.3307737
21,01-380,274998.4868
22,01-380,464.2239176
23,01-380,2380.402199
24,01-380,3379.979903
25,01-380,13.35609304
26,01-380,624.8112874
27,01-380,1050.736626
28,01-380,2090.484078
29,01-380,3587.060427
30,01-380,3584.042017
31,01-380,211.2371283
32,01-380,999.8473646
33,01-380,3728.919785
34,01-380,3556.837586
35,01-380,11177.74931
36,01-380,1972.78727
37,01-380,48361.03379
38,01-380,51743.46961
39,01-380,3395.849209
40,01-380,2948.283404
41,01-380,155.0817269
43,01-380,3937.640895
1,01-99999,1483.884332
2,01-99999,152.4703815
3,01-99999,317.2419743
4,01-99999,406.1615108
5,01-99999,2337.999164
6,01-99999,1133.57101
7,01-99999,1283.443083
8,01-99999,1361.892777
9,01-99999,12139.8328
10,01-99999,1203.503849
11,01-99999,16.48217908
12,01-99999,9.994908691
13,01-99999,131.5623095
14,01-99999,187.5270916
15,01-99999,201.8713106
16,01-99999,322.569921
17,01-99999,490.3637423
18,01-99999,491.9294854
19,01-99999,170.5297549
20,01-99999,421.5285856
21,01-99999,369995.2354
22,01-99999,305.3016491
23,01-99999,2723.348583
24,01-99999,2388.977287
25,01-99999,15.63879778
26,01-99999,423.239883
27,01-99999,705.1048896
28,01-99999,1621.94405
29,01-99999,1286.60265
30,01-99999,8414.856442
31,01-99999,285.0078565
32,01-99999,965.8226433
33,01-99999,2845.678613
34,01-99999,9096.040723
35,01-99999,19687.83428
36,01-99999,6792.604551
37,01-99999,3064.237675
38,01-99999,45451.21289
39,01-99999,4194.584394
40,01-99999,2544.287812
41,01-99999,107.696005
43,01-99999,2693.291815
1,02-99999,576.9397353
2,02-99999,100.2442598
3,02-99999,1180.011645
4,02-99999,834.0519765
5,02-99999,4741.000003
6,02-99999,3883.778787
7,02-99999,1835.151453
8,02-99999,3003.833727
9,02-99999,118889.4394
10,02-99999,354.2171158
11,02-99999,6.316688953
12,02-99999,13.72546756
13,02-99999,168.2820969
14,02-99999,123091.0693
15,02-99999,50.82556427
16,02-99999,315.5199396
17,02-99999,526.074898
18,02-99999,571.3255211
19,02-99999,451.9459765
20,02-99999,1215.679043
21,02-99999,72485.87595
22,02-99999,818.871591
23,02-99999,1492.64305
24,02-99999,6524.429624
25,02-99999,21.44952127
26,02-99999,942.7479747
27,02-99999,913.9855673
28,02-99999,3425.459185
29,02-99999,11453.13466
30,02-99999,14870.40191
31,02-99999,152.3449737
32,02-99999,3476.642366
33,02-99999,2897.233598
34,02-99999,23088.39367
35,02-99999,9729.457309
36,02-99999,6702.474311
37,02-99999,342768.685
38,02-99999,29747.297
39,02-99999,6207.589244
40,02-99999,16977.52343
41,02-99999,0.007424018
43,02-99999,2870.10044
1,04-38060,4346.689995
2,04-38060,200.9317263
3,04-38060,706.8555319
4,04-38060,833.0103311
5,04-38060,2826.808486
6,04-38060,1676.960759
7,04-38060,1325.654812
8,04-38060,2333.433415
9,04-38060,22869.8996
10,04-38060,315.402083
11,04-38060,14.32681364
12,04-38060,12.403671
13,04-38060,83.65222191
14,04-38060,3351.620758
15,04-38060,1876.197963
17,04-38060,585.8976863
18,04-38060,722.9622762
19,04-38060,217.4817805
20,04-38060,4445.982693
21,04-38060,89602.12072
22,04-38060,818.2019227
23,04-38060,5423.949071
24,04-38060,3255.79191
25,04-38060,702.217012
26,04-38060,1124.534848
27,04-38060,3034.56778
28,04-38060,1654.17468
29,04-38060,9229.17091
30,04-38060,13829.00263
31,04-38060,112.3650895
32,04-38060,1042.577588
33,04-38060,4290.464444
34,04-38060,12373.60374
35,04-38060,19129.99048
36,04-38060,10720.2493
37,04-38060,70852.73269
38,04-38060,76110.11239
39,04-38060,5599.439482
40,04-38060,7547.603411
41,04-38060,66.46016704
43,04-38060,2544.104383
1,04-536,1535.878068
2,04-536,256.1984917
3,04-536,705.6753272
4,04-536,566.2630159
5,04-536,7938.52205
6,04-536,2869.205027
7,04-536,982.1121043
8,04-536,1589.7142
9,04-536,148961.2624
10,04-536,286.1532975
11,04-536,13.92486151
12,04-536,10.82919263
13,04-536,272.1914946
14,04-536,1900.995338
17,04-536,423.4847254
18,04-536,365.4878676
19,04-536,217.1304066
20,04-536,144.7496483
21,04-536,42486.62936
23,04-536,3459.969663
24,04-536,3801.003828
25,04-536,970.5881482
26,04-536,1332.416006
27,04-536,609.8942133
28,04-536,3248.998707
29,04-536,4214.957343
30,04-536,8336.621203
31,04-536,120.1030696
32,04-536,9684.44436
33,04-536,2584.798047
34,04-536,10628.57108
35,04-536,11195.08563
36,04-536,13148.22493
37,04-536,577329.4068
38,04-536,65265.92315
39,04-536,7845.603218
40,04-536,10547.08892
41,04-536,80.01670034
43,04-536,4497.913026
1,04-99999,4824.517687
2,04-99999,240.1559265
3,04-99999,869.732277
4,04-99999,1026.422586
5,04-99999,3569.325514
6,04-99999,690.3363986
7,04-99999,597.7803253
8,04-99999,1406.194926
9,04-99999,22869.94494
10,04-99999,249.7017168
11,04-99999,33.06103506
12,04-99999,10.60793534
13,04-99999,27.61634165
14,04-99999,2048.002046
15,04-99999,21.96913987
17,04-99999,623.7619367
18,04-99999,610.1356139
19,04-99999,208.4858463
20,04-99999,200.1178095
21,04-99999,676239.8671
22,04-99999,384.4099281
23,04-99999,1752.626928
24,04-99999,3959.058893
25,04-99999,13.13444061
26,04-99999,809.2869175
27,04-99999,1647.271158
28,04-99999,1498.909023
29,04-99999,5428.165747
30,04-99999,6916.5195
31,04-99999,119.2015482
32,04-99999,3928.223794
33,04-99999,3697.665953
34,04-99999,10756.27908
35,04-99999,2847.135048
36,04-99999,13783.66
37,04-99999,135070.3936
38,04-99999,23047.86753
39,04-99999,5268.070233
40,04-99999,12953.35379
41,04-99999,4.26905965
43,04-99999,3657.799874
1,05-99999,1565.371036
2,05-99999,173.3127038
3,05-99999,363.9135155
4,05-99999,304.5091617
5,05-99999,2685.100779
6,05-99999,699.6417943
7,05-99999,1692.032647
8,05-99999,2235.532832
9,05-99999,79201.85337
10,05-99999,78.0739815
11,05-99999,9.209369175
12,05-99999,14.82813396
13,05-99999,73.81104885
14,05-99999,3766.576011
16,05-99999,322.569924
17,05-99999,657.4765389
18,05-99999,650.5636514
19,05-99999,227.5275417
20,05-99999,1165.148913
21,05-99999,85148.00889
22,05-99999,311.6015543
23,05-99999,1504.537602
24,05-99999,734.1407791
25,05-99999,31.10165546
26,05-99999,374.0478004
27,05-99999,965.4933535
28,05-99999,2158.391298
29,05-99999,15169.26751
30,05-99999,4116.213153
31,05-99999,182.5554071
32,05-99999,936.3574234
33,05-99999,3370.096184
34,05-99999,6636.741747
35,05-99999,11482.74336
36,05-99999,932.9114507
37,05-99999,2264.905934
38,05-99999,35462.95493
39,05-99999,5297.533289
40,05-99999,7547.97988
41,05-99999,140.2862737
43,05-99999,3065.04836
1,06-348,2629.258469
2,06-348,826.2367711
3,06-348,1727.52563
4,06-348,805.9047019
5,06-348,5181.080791
6,06-348,2475.791
7,06-348,1161.1655
8,06-348,2839.166156
9,06-348,68480.16012
10,06-348,975.3201916
11,06-348,36.85175568
12,06-348,9.699518286
13,06-348,253.3915489
14,06-348,1281.607834
15,06-348,999.9479984
16,06-348,315.5199375
17,06-348,535.9156116
18,06-348,457.6598485
19,06-348,301.6419766
20,06-348,651.4982933
21,06-348,91926.49028
22,06-348,913.3072159
23,06-348,6170.080099
24,06-348,4505.608274
25,06-348,3207.718959
26,06-348,881.7189239
27,06-348,1277.317003
28,06-348,2224.947405
29,06-348,5134.683688
30,06-348,18512.52652
31,06-348,227.3298685
32,06-348,2279.429288
33,06-348,2981.304022
34,06-348,5609.95718
35,06-348,20405.67894
36,06-348,7191.486456
37,06-348,145457.4313
38,06-348,64116.83085
39,06-348,6784.779267
40,06-348,7014.469304
41,06-348,66.62032791
43,06-348,4298.753384
1,06-472,2212.956287
2,06-472,271.0480722
3,06-472,1632.236887
4,06-472,566.8923883
5,06-472,10792.82038
6,06-472,1103.166147
7,06-472,1166.128727
8,06-472,1898.223485
9,06-472,22869.85887
10,06-472,60.04334669
11,06-472,10.16887891
12,06-472,15.57345839
13,06-472,47.70522318
17,06-472,633.6069026
18,06-472,594.5866807
19,06-472,533.7566515
20,06-472,3767.342694
21,06-472,211814.3626
22,06-472,264.2973206
23,06-472,2592.552077
24,06-472,6104.217894
25,06-472,28.54805269
26,06-472,970.0500798
27,06-472,1557.332954
28,06-472,1809.379118
29,06-472,7971.188804
30,06-472,22644.13417
31,06-472,120.9368083
32,06-472,2198.975806
33,06-472,3511.065275
34,06-472,1817.27122
35,06-472,30324.97077
36,06-472,8040.448833
37,06-472,136903.7388
38,06-472,6655.940358
39,06-472,5497.060913
40,06-472,3564.511891
41,06-472,3.106669816
43,06-472,4044.830557
1,06-41740,1202.314585
2,06-41740,243.9703293
3,06-41740,1626.561227
4,06-41740,816.8709267
5,06-41740,5518.181863
6,06-41740,3367.438532
7,06-41740,887.8019682
8,06-41740,2335.540855
9,06-41740,72703.66617
10,06-41740,4345.801468
11,06-41740,4.89445659
12,06-41740,10.78153927
13,06-41740,101.1826083
14,06-41740,178601.4969
17,06-41740,567.8955767
18,06-41740,499.6876128
19,06-41740,1574.586708
20,06-41740,6206.743097
21,06-41740,97301.31453
22,06-41740,32752.45053
23,06-41740,4589.328595
24,06-41740,5263.52664
25,06-41740,11.19519842
26,06-41740,1469.815862
27,06-41740,2738.25158
28,06-41740,2373.49806
29,06-41740,8539.154682
30,06-41740,18127.86817
31,06-41740,170.1659901
32,06-41740,3272.062471
33,06-41740,4811.395996
34,06-41740,22414.94062
35,06-41740,17697.67655
36,06-41740,16758.25378
37,06-41740,274569.9534
38,06-41740,172371.7874
39,06-41740,8106.327746
40,06-41740,23691.45762
41,06-41740,3.339275871
43,06-41740,5100.458687
1,06-488,1898.161864
2,06-488,365.1727704
3,06-488,1917.001835
4,06-488,448.2112928
5,06-488,7169.481019
6,06-488,2697.366991
7,06-488,1290.821403
8,06-488,4151.814003
9,06-488,139999.6532
10,06-488,178.7691417
11,06-488,11.88218986
12,06-488,9.735113641
13,06-488,179.274613
14,06-488,1416.69337
16,06-488,315.5199454
17,06-488,695.9262627
18,06-488,479.3387671
19,06-488,259.8770924
20,06-488,443.5311105
21,06-488,145472.8975
22,06-488,601.5880207
23,06-488,1965.38067
24,06-488,5095.906408
25,06-488,349.0344178
26,06-488,1145.084448
27,06-488,504.938624
28,06-488,2482.670738
29,06-488,6944.08906
30,06-488,19717.39957
31,06-488,292.9991249
32,06-488,1596.807598
33,06-488,3075.730813
34,06-488,17155.31251
35,06-488,55591.16209
36,06-488,8645.6311
37,06-488,135178.6583
38,06-488,142409.5026
39,06-488,5588.810561
40,06-488,4035.173994
41,06-488,26.68002032
43,06-488,3194.700877
1,06-260,6196.199858
2,06-260,317.2560465
3,06-260,1047.178908
4,06-260,282.6513566
5,06-260,3473.582886
6,06-260,857.3410273
7,06-260,696.3700815
8,06-260,1233.499798
9,06-260,42000.01513
10,06-260,229.035881
11,06-260,15.89478329
12,06-260,13.77953364
13,06-260,393.7021113
14,06-260,40213.44875
16,06-260,315.5199317
17,06-260,636.4502491
18,06-260,559.3442991
19,06-260,534.5755107
20,06-260,864.4404404
21,06-260,14165.53914
22,06-260,666.5757519
23,06-260,4039.101335
24,06-260,5687.770721
25,06-260,21.42495233
26,06-260,786.4319275
27,06-260,2090.267142
28,06-260,1129.837325
29,06-260,539.987247
30,06-260,17835.36173
31,06-260,327.6479476
32,06-260,1558.601533
33,06-260,2736.094258
34,06-260,11908.94185
35,06-260,22978.46248
36,06-260,11161.51384
37,06-260,51805.28014
38,06-260,30950.42135
39,06-260,5908.829879
40,06-260,8984.104356
41,06-260,73.04990981
43,06-260,5024.041847
1,06-99999,2215.139408
2,06-99999,211.2378426
3,06-99999,1216.438285
4,06-99999,275.4279115
5,06-99999,2058.735021
6,06-99999,1078.002155
7,06-99999,786.9781626
8,06-99999,2095.808414
9,06-99999,37707.19055
10,06-99999,382.9995457
11,06-99999,6.134025221
12,06-99999,15.47657049
13,06-99999,104.321058
14,06-99999,174670.6584
16,06-99999,315.5199455
17,06-99999,625.2280925
18,06-99999,648.3147291
19,06-99999,259.491507
20,06-99999,1021.005708
21,06-99999,31319.97652
22,06-99999,425.5779834
23,06-99999,1720.527618
24,06-99999,4397.840722
25,06-99999,21.69231907
26,06-99999,577.4178653
27,06-99999,827.4005904
28,06-99999,1082.564913
29,06-99999,5121.257569
30,06-99999,30970.63077
31,06-99999,199.4706504
32,06-99999,1902.631753
33,06-99999,2260.892661
34,06-99999,6037.288753
35,06-99999,33951.03418
36,06-99999,4324.193294
37,06-99999,18357.29764
38,06-99999,79185.67174
39,06-99999,6121.732304
40,06-99999,5771.927202
41,06-99999,18.79340051
43,06-99999,4097.774991
1,08-216,5844.073708
2,08-216,109.2656684
3,08-216,636.9273731
4,08-216,304.0618816
5,08-216,4774.396399
6,08-216,2019.10978
7,08-216,1275.132789
8,08-216,1358.525613
9,08-216,23110.78908
10,08-216,301.5324028
11,08-216,13.11758403
12,08-216,8.210709777
13,08-216,204.5718536
14,08-216,1862.269011
16,08-216,305.5435476
17,08-216,452.3507183
18,08-216,2318.52235
19,08-216,320.5946271
20,08-216,574.4930368
21,08-216,128755.29
22,08-216,701.3315017
23,08-216,5026.163237
24,08-216,7047.526857
25,08-216,197.0794006
26,08-216,1229.726398
27,08-216,1411.025344
28,08-216,1560.066607
29,08-216,2566.156617
30,08-216,24825.1588
31,08-216,341.3609709
32,08-216,2757.057489
33,08-216,1861.363719
34,08-216,10575.96419
35,08-216,26204.68879
36,08-216,7273.179484
37,08-216,455154.7792
38,08-216,62703.4049
39,08-216,6649.106755
40,08-216,9686.547595
41,08-216,71.61445569
43,08-216,3338.949729
1,08-99999,3987.789318
2,08-99999,134.5630513
3,08-99999,322.8538785
4,08-99999,172.3920673
5,08-99999,4817.592486
6,08-99999,2366.138272
7,08-99999,940.6251313
8,08-99999,1100.157286
9,08-99999,76710.11071
10,08-99999,116.5238898
11,08-99999,9.068883612
12,08-99999,23.08128203
13,08-99999,45.16779321
14,08-99999,20132.53274
15,08-99999,36.39158495
16,08-99999,305.5435497
17,08-99999,584.259902
18,08-99999,755.9232028
19,08-99999,162.5588775
20,08-99999,653.7572727
21,08-99999,116441.4618
22,08-99999,306.390386
23,08-99999,2776.0343
24,08-99999,6091.070743
25,08-99999,22.28619775
26,08-99999,471.659522
27,08-99999,1192.16797
28,08-99999,2409.286676
29,08-99999,13746.53908
30,08-99999,2153.211999
31,08-99999,124.4499563
32,08-99999,798.4192838
33,08-99999,1807.591438
34,08-99999,22916.00532
35,08-99999,14852.24397
36,08-99999,467.5193119
37,08-99999,160090.2291
38,08-99999,138238.302
39,08-99999,7260.754667
40,08-99999,2669.864255
41,08-99999,21.62728142
43,08-99999,7542.035271
1,09-25540,7145.454186
2,09-25540,506.078348
3,09-25540,1271.501846
4,09-25540,322.9661756
5,09-25540,9338.345466
6,09-25540,2278.534105
7,09-25540,1107.529357
8,09-25540,1776.389239
9,09-25540,56764.60907
10,09-25540,26.72293874
11,09-25540,23.5710016
12,09-25540,11.44707226
13,09-25540,65.13532226
14,09-25540,8310.124025
17,09-25540,659.1335264
18,09-25540,616.5888816
19,09-25540,447.3686355
20,09-25540,1068.298784
21,09-25540,189696.9169
22,09-25540,339.1995229
23,09-25540,4852.006485
24,09-25540,7305.892047
25,09-25540,10.95954364
