"","NAICS","size_group","total_emp","total_est","total_firm","emp_per_est","est_per_firm"
"1",113110,1,1291,400,400,3.2275,1
"2",113110,2,294,11,11,26.7272727272727,1
"3",113210,1,509,152,152,3.34868421052632,1
"4",113210,2,62,3,3,20.6666666666667,1
"5",113310,1,32105,7482,7482,4.29096498262497,1
"6",113310,2,14151,453,451,31.2384105960265,1.00443458980044
"7",113310,3,928,17,12,54.5882352941176,1.41666666666667
"8",114111,1,1497,1152,1151,1.29947916666667,1.00086880973067
"9",114111,2,224,7,7,32,1
"10",114112,1,1019,1114,1114,0.914721723518851,1
"11",114112,2,157,5,5,31.4,1
"12",114119,1,122,103,103,1.18446601941748,1
"13",114210,1,981,338,338,2.90236686390533,1
"14",114210,2,126,5,5,25.2,1
"15",115111,1,1018,181,179,5.62430939226519,1.01117318435754
"16",115111,2,755,30,28,25.1666666666667,1.07142857142857
"17",115112,1,6314,2052,2052,3.07699805068226,1
"18",115112,2,2572,87,86,29.5632183908046,1.01162790697674
"19",115112,3,645,20,15,32.25,1.33333333333333
"20",115112,4,58,4,3,14.5,1.33333333333333
"21",115113,1,948,296,296,3.2027027027027,1
"22",115113,2,543,17,12,31.9411764705882,1.41666666666667
"23",115114,1,2664,528,527,5.04545454545455,1.00189753320683
"24",115114,2,7415,181,167,40.9668508287293,1.08383233532934
"25",115114,5,1897,4,4,474.25,1
"26",115115,1,1290,384,382,3.359375,1.00523560209424
"27",115115,2,2450,56,55,43.75,1.01818181818182
"28",115115,3,3845,23,22,167.173913043478,1.04545454545455
"29",115116,1,1517,486,485,3.12139917695473,1.0020618556701
"30",115116,2,1503,42,35,35.7857142857143,1.2
"31",115210,1,11734,4254,4251,2.75834508697696,1.00070571630205
"32",115210,2,3704,107,103,34.6168224299065,1.03883495145631
"33",115310,1,4317,1480,1479,2.91689189189189,1.00067613252197
"34",115310,2,4197,149,114,28.1677852348993,1.30701754385965
"35",211111,1,17156,5115,5079,3.35405669599218,1.00708800945068
"36",211111,2,13803,467,385,29.5567451820128,1.21298701298701
"37",211112,1,258,79,79,3.26582278481013,1
"38",211112,2,394,13,10,30.3076923076923,1.3
"39",212111,1,952,174,170,5.47126436781609,1.02352941176471
"40",212111,2,1769,53,45,33.377358490566,1.17777777777778
"41",212112,1,424,88,88,4.81818181818182,1
"42",212112,2,1119,27,27,41.4444444444444,1
"43",212112,3,1803,13,10,138.692307692308,1.3
"44",212113,1,206,41,41,5.02439024390244,1
"45",212210,1,33,7,7,4.71428571428571,1
"46",212210,7,2546,5,4,509.2,1.25
"47",212221,1,337,133,131,2.53383458646617,1.01526717557252
"48",212221,2,49,3,3,16.3333333333333,1
"49",212231,1,4,4,4,1,1
"50",212234,1,100,15,15,6.66666666666667,1
"51",212291,1,6,5,5,1.2,1
"52",212299,1,22,15,15,1.46666666666667,1
"53",212311,1,1008,220,217,4.58181818181818,1.01382488479263
