scenario,Scenario_ID,Diesel_Scenario,Elec_Scenario,Fuel price ($/gal),Elec price ($/hWh),Elec_FC,Diesel_FC,NFC,Elec_TC,Diesel_TC,Rail_TC
HOP_highp2,"High fuel, 0.6 * electricity",HOP,p2,5.56,0.14,0.150887,0.559448,1.388,1.538887,1.947448,0.042861
HOP_highp4,"High fuel, 0.8 * electricity",HOP,p4,5.56,0.19,0.185054,0.53857,1.388,1.573054,1.92657,0.042861
HOP_highp6,"High fuel, 1.0 * electricity",HOP,p6,5.56,0.23,0.219211,0.541581,1.388,1.607211,1.929581,0.042861
HOP_highp8,"High fuel, 1.2 * electricity",HOP,p8,5.56,0.28,0.253312,0.538736,1.388,1.641312,1.926736,0.042861
HOP_highp10,"High fuel, 1.4 * electricity",HOP,p10,5.56,0.33,0.292281,0.532781,1.388,1.680281,1.920781,0.042861
Ref_highp2,"Base fuel, 0.6 * electricity",Ref,p2,3.57,0.14,0.130353,0.497408,1.388,1.518353,1.885408,0.039
Ref_highp4,"Base fuel, 0.8 * electricity",Ref,p4,3.57,0.19,0.168172,0.49204,1.388,1.556172,1.88004,0.039
Ref_highp6,"Base fuel, 1.0 * electricity",Ref,p6,3.57,0.23,0.204304,0.490784,1.388,1.592304,1.878784,0.039
Ref_highp8,"Base fuel, 1.2 * electricity",Ref,p8,3.57,0.28,0.242991,0.488895,1.388,1.630991,1.876895,0.039
Ref_highp10,"Base fuel, 1.4 * electricity",Ref,p10,3.57,0.33,0.281856,0.483297,1.388,1.669856,1.871297,0.039
