iter	Passed	Remaining
0	168	50301
1	273	40757
2	373	36991
3	486	36024
4	608	35929
5	711	34847
6	823	34451
7	945	34519
8	1046	33846
9	1143	33169
10	1253	32929
11	1350	32407
12	1443	31868
13	1540	31478
14	1639	31152
15	1726	30651
16	1827	30426
17	1930	30237
18	2031	30039
19	2133	29862
20	2230	29635
21	2332	29479
22	2428	29242
23	2526	29058
24	2625	28881
25	2728	28756
26	2824	28562
27	2928	28443
28	3035	28368
29	3137	28234
30	3234	28069
31	3325	27847
32	3429	27746
33	3519	27536
34	3626	27454
35	3760	27574
36	3856	27415
37	3956	27280
38	4059	27169
39	4153	26996
40	4247	26832
41	4355	26754
42	4446	26574
43	4551	26484
44	4644	26321
45	4748	26220
46	4844	26075
47	4950	25988
48	5048	25861
49	5152	25762
50	5243	25598
51	5348	25507
52	5465	25472
53	5580	25422
54	5678	25293
55	5796	25256
56	5888	25104
57	5997	25024
58	6110	24960
59	6231	24924
60	6338	24833
61	6430	24684
62	6517	24518
63	6635	24469
64	6745	24389
65	6842	24260
66	6950	24170
67	7056	24076
68	7160	23973
69	7258	23849
70	7365	23756
71	7465	23642
72	7580	23572
73	7693	23496
74	7802	23408
75	7924	23357
76	8033	23266
77	8133	23148
78	8237	23044
79	8338	22930
80	8434	22804
81	8533	22686
82	8642	22594
83	8741	22479
84	8848	22381
85	8962	22302
86	9087	22248
87	9179	22113
88	9297	22041
89	9414	21967
90	9532	21894
91	9643	21802
92	9761	21727
93	9866	21622
94	9982	21540
95	10085	21430
96	10212	21371
97	10311	21254
98	10393	21101
99	10514	21029
100	10633	20951
101	10751	20869
102	10853	20758
103	10967	20669
104	11083	20584
105	11195	20490
106	11309	20398
107	11422	20306
108	11540	20222
109	11659	20138
110	11781	20060
111	11900	19975
112	12015	19883
113	12124	19782
114	12241	19693
115	12335	19567
116	12451	19476
117	12571	19390
118	12692	19305
119	12809	19214
120	12911	19100
121	13016	18990
122	13128	18892
123	13251	18808
124	13362	18707
125	13485	18622
126	13575	18491
127	13692	18399
128	13847	18355
129	13963	18259
130	14089	18176
131	14214	18091
132	14332	17996
133	14456	17909
134	14550	17783
135	14650	17666
136	14768	17571
137	14854	17438
138	14962	17330
139	15080	17234
140	15190	17129
141	15309	17034
142	15423	16932
143	15536	16831
144	15642	16720
145	15769	16633
146	15873	16521
147	15989	16422
148	16111	16327
149	16225	16225
150	16330	16114
151	16435	16002
152	16546	15897
153	16663	15798
154	16780	15698
155	16888	15589
156	16999	15483
157	17118	15385
158	17228	15277
159	17345	15177
160	17457	15071
161	17575	14971
162	17680	14860
163	17792	14755
164	17896	14642
165	18011	14539
166	18134	14442
167	18250	14339
168	18355	14227
169	18456	14113
170	18569	14008
171	18680	13901
172	18788	13793
173	18896	13683
174	19010	13578
175	19125	13474
176	19267	13389
177	19393	13292
178	19513	13190
179	19629	13086
180	19739	12977
181	19854	12872
182	19961	12762
183	20061	12647
184	20184	12546
185	20295	12438
186	20408	12332
187	20520	12225
188	20638	12120
189	20759	12018
190	20860	11904
191	20966	11793
192	21082	11688
193	21203	11585
194	21324	11482
195	21447	11380
196	21564	11274
197	21678	11167
198	21793	11061
199	21907	10953
200	22055	10863
201	22193	10767
202	22315	10662
203	22431	10555
204	22540	10445
205	22650	10335
206	22782	10235
207	22908	10132
208	23038	10031
209	23165	9928
210	23273	9816
211	23395	9711
212	23511	9603
213	23640	9500
214	23761	9394
215	23886	9289
216	24005	9181
217	24123	9073
218	24245	8967
219	24341	8851
220	24447	8739
221	24557	8628
222	24676	8520
223	24788	8410
224	24949	8316
225	25061	8206
226	25178	8097
227	25295	7987
228	25405	7876
229	25510	7764
230	25635	7657
231	25751	7547
232	25874	7440
233	25983	7328
234	26083	7214
235	26207	7107
236	26323	6997
237	26438	6887
238	26555	6777
239	26674	6668
240	26789	6558
241	26909	6449
242	27027	6339
243	27161	6233
244	27312	6131
245	27427	6020
246	27533	5907
247	27659	5799
248	27779	5689
249	27895	5579
250	28017	5469
251	28129	5357
252	28247	5247
253	28374	5138
254	28485	5026
255	28603	4916
256	28715	4804
257	28817	4691
258	28935	4580
259	29045	4468
260	29158	4356
261	29276	4246
262	29400	4136
263	29518	4025
264	29628	3913
265	29754	3803
266	29882	3693
267	29991	3581
268	30102	3469
269	30221	3357
270	30337	3246
271	30474	3137
272	30577	3024
273	30695	2912
274	30813	2801
275	30931	2689
276	31045	2577
277	31149	2465
278	31267	2353
279	31383	2241
280	31496	2129
281	31604	2017
282	31726	1905
283	31836	1793
284	31943	1681
285	32056	1569
286	32162	1456
287	32285	1345
288	32403	1233
289	32532	1121
290	32642	1009
291	32755	897
292	32868	785
293	32989	673
294	33095	560
295	33220	448
296	33343	336
297	33455	224
298	33571	112
299	33686	0
