MESOZONE,orig_total,adj_total,abs_diff
250010101001,312.0,2506.0,2194.0
250010101002,100.0,292.0,192.0
250010101003,253.0,233.0,-20.0
250010101004,586.0,706.0,120.0
250010101005,645.0,1229.0,584.0
250010102061,141.0,748.0,607.0
250010102062,383.0,970.0,587.0
250010102063,411.0,729.0,318.0
250010102081,227.0,459.0,232.0
250010102082,205.0,321.0,116.0
250010102083,85.0,463.0,378.0
250010103041,155.0,296.0,141.0
250010103042,43.0,253.0,210.0
250010103043,143.0,337.0,194.0
250010103061,318.0,396.0,78.0
250010103062,419.0,826.0,407.0
250010103063,85.0,530.0,445.0
250010104001,328.0,1494.0,1166.0
250010104002,1543.0,1908.0,365.0
250010104003,820.0,1935.0,1115.0
250010104004,58.0,1683.0,1625.0
250010105001,301.0,592.0,291.0
250010105002,51.0,75.0,24.0
250010105003,434.0,458.0,24.0
250010106001,344.0,1119.0,775.0
250010106002,33.0,350.0,317.0
250010106003,707.0,645.0,-62.0
250010106004,748.0,1183.0,435.0
250010107001,390.0,558.0,168.0
250010107002,692.0,1537.0,845.0
250010107003,83.0,424.0,341.0
250010107004,94.0,240.0,146.0
250010108001,129.0,430.0,301.0
250010108002,81.0,417.0,336.0
250010108003,614.0,1113.0,499.0
250010108004,481.0,510.0,29.0
250010108005,370.0,1147.0,777.0
250010109001,397.0,1066.0,669.0
250010109002,333.0,477.0,144.0
250010109003,164.0,446.0,282.0
250010109004,41.0,175.0,134.0
250010110021,100.0,533.0,433.0
250010110022,258.0,736.0,478.0
250010110023,85.0,322.0,237.0
250010110024,721.0,1421.0,700.0
250010111001,129.0,576.0,447.0
250010111002,365.0,400.0,35.0
250010111003,508.0,1079.0,571.0
250010111004,409.0,566.0,157.0
250010112001,117.0,658.0,541.0
250010112002,161.0,597.0,436.0
250010112003,159.0,386.0,227.0
250010112004,527.0,570.0,43.0
250010113001,105.0,672.0,567.0
250010113002,236.0,591.0,355.0
250010113003,272.0,571.0,299.0
250010114001,131.0,173.0,42.0
250010114002,103.0,252.0,149.0
250010114003,106.0,296.0,190.0
250010114004,171.0,495.0,324.0
250010115001,12.0,211.0,199.0
250010115002,285.0,404.0,119.0
250010115003,26.0,193.0,167.0
250010115004,1616.0,1830.0,214.0
250010115005,282.0,564.0,282.0
250010116001,542.0,900.0,358.0
250010116002,76.0,440.0,364.0
250010116003,131.0,871.0,740.0
250010117001,112.0,372.0,260.0
250010117002,262.0,276.0,14.0
250010117003,192.0,659.0,467.0
250010118011,241.0,426.0,185.0
250010118012,63.0,352.0,289.0
250010118021,117.0,381.0,264.0
250010118022,584.0,843.0,259.0
250010118023,314.0,514.0,200.0
250010118024,92.0,411.0,319.0
250010120011,105.0,1127.0,1022.0
250010120012,2351.0,3082.0,731.0
250010120013,50.0,472.0,422.0
250010120014,76.0,586.0,510.0
250010120021,756.0,1346.0,590.0
250010120022,464.0,1322.0,858.0
250010120023,155.0,805.0,650.0
250010121011,558.0,1560.0,1002.0
250010121012,331.0,988.0,657.0
250010121013,28.0,247.0,219.0
250010121014,158.0,484.0,326.0
250010121015,75.0,561.0,486.0
250010121021,258.0,690.0,432.0
250010121022,163.0,801.0,638.0
250010121023,292.0,597.0,305.0
250010121024,511.0,622.0,111.0
250010122001,126.0,94.0,-32.0
250010122002,688.0,838.0,150.0
250010122003,848.0,527.0,-321.0
250010122004,37.0,144.0,107.0
250010125021,111.0,196.0,85.0
250010125022,164.0,301.0,137.0
250010125023,593.0,244.0,-349.0
250010125024,125.0,253.0,128.0
250010126011,687.0,738.0,51.0
250010126012,383.0,633.0,250.0
250010126021,241.0,221.0,-20.0
250010126022,417.0,311.0,-106.0
250010126023,398.0,199.0,-199.0
250010126024,170.0,192.0,22.0
250010127001,183.0,156.0,-27.0
250010127002,471.0,477.0,6.0
250010127003,54.0,107.0,53.0
250010127004,128.0,313.0,185.0
250010128001,477.0,448.0,-29.0
250010128002,161.0,325.0,164.0
250010128003,78.0,142.0,64.0
250010129001,36.0,201.0,165.0
250010129002,59.0,110.0,51.0
250010129003,73.0,27.0,-46.0
250010130021,272.0,314.0,42.0
250010130022,413.0,383.0,-30.0
250010130023,340.0,267.0,-73.0
250010130024,560.0,313.0,-247.0
250010131001,117.0,224.0,107.0
250010131002,518.0,482.0,-36.0
250010131003,104.0,139.0,35.0
250010131004,71.0,96.0,25.0
250010132001,184.0,185.0,1.0
250010132002,547.0,660.0,113.0
250010132003,127.0,199.0,72.0
250010133001,772.0,1293.0,521.0
250010133002,610.0,758.0,148.0
250010133003,936.0,1217.0,281.0
250010134001,84.0,1915.0,1831.0
250010134002,31.0,138.0,107.0
250010134003,141.0,427.0,286.0
250010134004,355.0,260.0,-95.0
250010135001,239.0,562.0,323.0
250010135002,56.0,176.0,120.0
250010135003,74.0,338.0,264.0
250010135004,68.0,88.0,20.0
250010136001,2009.0,2375.0,366.0
250010136002,130.0,995.0,865.0
250010136003,83.0,400.0,317.0
250010137001,144.0,1406.0,1262.0
250010137002,168.0,289.0,121.0
250010137003,16.0,183.0,167.0
250010137004,1218.0,1481.0,263.0
250010138001,742.0,1425.0,683.0
250010138002,717.0,328.0,-389.0
250010138003,339.0,763.0,424.0
250010139001,13.0,272.0,259.0
250010139002,41.0,584.0,543.0
250010139003,340.0,935.0,595.0
250010139004,1336.0,2239.0,903.0
250010140021,66.0,623.0,557.0
250010140022,1338.0,1603.0,265.0
250010140023,270.0,500.0,230.0
250010140024,101.0,628.0,527.0
250010141001,546.0,2486.0,1940.0
250010143001,148.0,511.0,363.0
250010143002,316.0,435.0,119.0
250010143003,128.0,289.0,161.0
250010143004,398.0,555.0,157.0
250010143005,15.0,427.0,412.0
250010144021,762.0,1541.0,779.0
250010144022,424.0,1031.0,607.0
250010144023,59.0,377.0,318.0
250010145001,93.0,376.0,283.0
250010145002,124.0,531.0,407.0
250010145003,33.0,212.0,179.0
250010146001,98.0,367.0,269.0
250010146002,262.0,561.0,299.0
250010146003,123.0,270.0,147.0
250010146004,62.0,458.0,396.0
250010147001,424.0,668.0,244.0
250010147002,109.0,444.0,335.0
250010147003,229.0,912.0,683.0
250010148001,642.0,1510.0,868.0
250010148002,1154.0,1619.0,465.0
250010148003,1169.0,1799.0,630.0
250010148004,881.0,1577.0,696.0
250010149001,1309.0,3561.0,2252.0
250010149002,945.0,2262.0,1317.0
250010149003,907.0,1392.0,485.0
250010149004,2614.0,5113.0,2499.0
250010150011,855.0,886.0,31.0
250010150012,58.0,427.0,369.0
250010150021,309.0,1521.0,1212.0
250010150022,986.0,1528.0,542.0
250010151001,476.0,1562.0,1086.0
250010151002,1737.0,3599.0,1862.0
250010152001,205.0,247.0,42.0
250010152002,178.0,1026.0,848.0
250010153001,7733.0,7559.0,-174.0
250010153002,6905.0,8297.0,1392.0
250010153003,1519.0,1398.0,-121.0
250039001001,1568.0,1779.0,211.0
250039001002,2801.0,6085.0,3284.0
250039001003,2046.0,2178.0,132.0
250039001004,364.0,1436.0,1072.0
250039002001,111.0,676.0,565.0
250039002002,129.0,737.0,608.0
250039002003,654.0,1887.0,1233.0
250039002004,70.0,690.0,620.0
250039002005,44.0,578.0,534.0
250039002006,3205.0,1992.0,-1213.0
250039003001,5.0,178.0,173.0
250039003002,47.0,115.0,68.0
250039003003,165.0,407.0,242.0
250039004001,172.0,521.0,349.0
250039004002,142.0,198.0,56.0
250039004003,83.0,314.0,231.0
250039004004,89.0,356.0,267.0
250039004005,283.0,297.0,14.0
250039005001,119.0,311.0,192.0
250039005002,756.0,3310.0,2554.0
250039006001,18.0,356.0,338.0
250039006002,76.0,197.0,121.0
250039006003,146.0,507.0,361.0
250039006004,86.0,346.0,260.0
250039006005,507.0,1123.0,616.0
250039007001,161.0,313.0,152.0
250039007002,126.0,314.0,188.0
250039007003,282.0,618.0,336.0
250039007004,524.0,1384.0,860.0
250039008001,136.0,767.0,631.0
250039008002,1294.0,2473.0,1179.0
250039008003,157.0,485.0,328.0
250039008004,34.0,278.0,244.0
250039008005,10.0,203.0,193.0
250039009001,134.0,796.0,662.0
250039009002,441.0,530.0,89.0
250039009003,344.0,544.0,200.0
250039009004,165.0,514.0,349.0
250039009005,248.0,641.0,393.0
250039011001,103.0,252.0,149.0
250039011002,5.0,178.0,173.0
250039011003,27.0,228.0,201.0
250039011004,1530.0,2798.0,1268.0
250039111001,872.0,2426.0,1554.0
250039111002,510.0,138.0,-372.0
250039111003,263.0,548.0,285.0
250039121001,51.0,170.0,119.0
250039121002,400.0,516.0,116.0
250039121003,128.0,162.0,34.0
250039121004,380.0,524.0,144.0
250039121005,469.0,228.0,-241.0
250039121006,132.0,702.0,570.0
250039121007,303.0,1497.0,1194.0
250039131001,164.0,599.0,435.0
250039131002,960.0,2316.0,1356.0
250039131003,262.0,1167.0,905.0
250039131004,187.0,480.0,293.0
250039131005,649.0,1310.0,661.0
250039131006,1256.0,1449.0,193.0
250039131007,179.0,491.0,312.0
250039141001,277.0,941.0,664.0
250039141002,701.0,702.0,1.0
250039141003,528.0,703.0,175.0
250039141004,302.0,1786.0,1484.0
250039141005,821.0,1806.0,985.0
250039141006,581.0,1367.0,786.0
250039201011,414.0,1728.0,1314.0
250039201012,129.0,740.0,611.0
250039201013,1575.0,1056.0,-519.0
250039201014,265.0,288.0,23.0
250039201021,362.0,543.0,181.0
250039201022,603.0,2320.0,1717.0
250039201023,527.0,675.0,148.0
250039213001,67.0,366.0,299.0
250039213002,55.0,768.0,713.0
250039213003,108.0,134.0,26.0
250039213004,349.0,62.0,-287.0
250039214001,570.0,1263.0,693.0
250039214002,897.0,1857.0,960.0
250039215001,238.0,645.0,407.0
250039215002,242.0,915.0,673.0
250039221001,23.0,312.0,289.0
250039221002,404.0,572.0,168.0
250039221003,417.0,631.0,214.0
250039221004,63.0,226.0,163.0
250039222001,313.0,581.0,268.0
250039222002,51.0,420.0,369.0
250039222003,379.0,265.0,-114.0
250039222004,64.0,78.0,14.0
250039223001,37.0,95.0,58.0
250039223002,36.0,119.0,83.0
250039231001,91.0,195.0,104.0
250039231002,253.0,441.0,188.0
250039231003,220.0,574.0,354.0
250039241001,454.0,1125.0,671.0
250039241002,1055.0,976.0,-79.0
250039241003,153.0,791.0,638.0
250039251001,25.0,74.0,49.0
250039251002,1483.0,3186.0,1703.0
250039251003,395.0,837.0,442.0
250039251004,522.0,451.0,-71.0
250039251005,898.0,965.0,67.0
250039251006,812.0,3434.0,2622.0
250039251007,301.0,769.0,468.0
250039261001,815.0,1602.0,787.0
250039261002,199.0,403.0,204.0
250039261003,251.0,807.0,556.0
250039261004,71.0,268.0,197.0
250039311001,72.0,190.0,118.0
250039311002,125.0,155.0,30.0
250039313001,144.0,135.0,-9.0
250039313002,67.0,92.0,25.0
250039314001,44.0,72.0,28.0
250039314002,130.0,62.0,-68.0
250039322001,87.0,139.0,52.0
250039322002,197.0,382.0,185.0
250039322003,70.0,275.0,205.0
250039323001,189.0,101.0,-88.0
250039323002,51.0,460.0,409.0
250039332001,35.0,0.0,-35.0
250039332002,179.0,279.0,100.0
250039333001,139.0,432.0,293.0
250039333002,211.0,664.0,453.0
250039334001,196.0,366.0,170.0
250039334002,120.0,305.0,185.0
250039334003,213.0,267.0,54.0
250039342001,145.0,229.0,84.0
250039342002,49.0,261.0,212.0
250039343001,64.0,46.0,-18.0
250039343002,274.0,732.0,458.0
250039351001,49.0,56.0,7.0
250039351002,558.0,1059.0,501.0
250039351003,68.0,240.0,172.0
250039351004,60.0,212.0,152.0
250039352001,75.0,1224.0,1149.0
250039352002,468.0,1498.0,1030.0
250039352003,571.0,888.0,317.0
250039352004,12.0,251.0,239.0
250039352005,4330.0,6291.0,1961.0
250039353001,277.0,1726.0,1449.0
250039353002,526.0,1122.0,596.0
250039353003,147.0,838.0,691.0
250039353004,1714.0,1798.0,84.0
250056001001,579.0,2326.0,1747.0
250056001002,415.0,2401.0,1986.0
250056002021,3475.0,3389.0,-86.0
250056002022,133.0,2902.0,2769.0
250056002023,887.0,946.0,59.0
250056002031,101.0,1454.0,1353.0
250056002032,75.0,76.0,1.0
250056002033,1078.0,1639.0,561.0
250056002041,142.0,318.0,176.0
250056002042,179.0,632.0,453.0
250056101001,1462.0,2157.0,695.0
250056101002,583.0,1277.0,694.0
250056101003,512.0,1001.0,489.0
250056102021,37.0,1581.0,1544.0
250056102022,738.0,1557.0,819.0
250056102023,145.0,1755.0,1610.0
250056102024,7169.0,9507.0,2338.0
250056102031,28.0,279.0,251.0
250056102032,106.0,532.0,426.0
