MESOZONE,1_constr,2_eduhlth,3_finance,4_public,5_info,6_ret_leis,7_manu,8_other,9_profbus,10_ttu,total_jobs,total_households,rank11,rank21,rank22,rank23,rank3133,rank42,rank4445,rank4849,rank51,rank52,rank53,rank54,rank55,rank56,rank61,rank62,rank71,rank72,rank81,rank92,COUNTY,lehd_total,diff
250010101001,11,53,9,36,14,135,5,8,24,17,312,536,,,,2.0,,7.0,158.0,9.0,,6.0,23.0,7.0,,,2.0,22.0,7.0,65.0,4.0,,25001.0,312.0,0.0
250010101002,5,33,11,7,1,37,0,20,7,3,124,280,3.0,,,3.0,,,11.0,,,,28.0,1.0,,,,1.0,5.0,48.0,,,25001.0,100.0,24.0
250010101003,3,39,14,7,7,67,0,3,8,2,150,287,1.0,,,,,,53.0,,4.0,4.0,1.0,17.0,,8.0,20.0,92.0,,51.0,,2.0,25001.0,253.0,-103.0
250010101004,15,102,6,36,12,230,0,31,16,20,468,441,2.0,,,57.0,,,101.0,,17.0,5.0,6.0,13.0,,6.0,48.0,109.0,11.0,176.0,35.0,,25001.0,586.0,-118.0
250010101005,11,53,21,145,9,443,13,41,23,43,802,342,3.0,,,3.0,10.0,,115.0,4.0,,6.0,9.0,44.0,57.0,17.0,,7.0,19.0,221.0,13.0,117.0,25001.0,645.0,157.0
250010102061,18,52,9,44,7,99,1,16,15,2,263,311,,,,9.0,,,,,16.0,2.0,16.0,3.0,,8.0,,4.0,,56.0,27.0,,25001.0,141.0,122.0
250010102062,24,55,20,27,6,275,0,26,16,1,450,397,,,,44.0,,,62.0,,8.0,15.0,4.0,8.0,39.0,6.0,5.0,,55.0,90.0,11.0,36.0,25001.0,383.0,67.0
250010102063,34,155,7,17,4,80,2,20,25,5,349,512,5.0,,,59.0,,7.0,22.0,,1.0,8.0,5.0,7.0,,16.0,29.0,67.0,87.0,39.0,6.0,53.0,25001.0,411.0,-62.0
250010102081,21,55,14,43,47,71,1,3,16,15,286,321,5.0,,,59.0,,13.0,28.0,25.0,2.0,,,10.0,,2.0,43.0,,2.0,2.0,10.0,26.0,25001.0,227.0,59.0
250010102082,13,17,6,10,49,55,3,2,13,3,171,276,1.0,,,23.0,15.0,,10.0,,7.0,29.0,5.0,,,10.0,,5.0,44.0,55.0,1.0,,25001.0,205.0,-34.0
